IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,REGION
BTR,Baton Rouge Metropolitan Airport,Baton Rouge,LA,USA,30.53316,-91.14963,South
BTV,Burlington International Airport,Burlington,VT,USA,44.473,-73.15031,Northeast
BUF,Buffalo Niagara International Airport,Buffalo,NY,USA,42.94052,-78.73217,Northeast
BUR,Bob Hope Airport (Hollywood Burbank Airport),Burbank,CA,USA,34.20062,-118.3585,West
BWI,Baltimore-Washington International Airport,Baltimore,MD,USA,39.1754,-76.6682,South
BZN,Bozeman Yellowstone International Airport (Gallatin Field Airport),Bozeman,MT,USA,45.7769,-111.15301,West
CAE,Columbia Metropolitan Airport,Columbia,SC,USA,33.93884,-81.11954,South
CAK,Akron-Canton Regional Airport,Akron,OH,USA,40.91631,-81.44247,Midwest
CDC,Cedar City Regional Airport,Cedar City,UT,USA,37.70097,-113.09858,West
CDV,Merle K. (Mudhole) Smith Airport,Cordova,AK,USA,60.49183,-145.47765,West
CEC,Del Norte County Airport (Jack McNamara Field),Crescent City,CA,USA,41.78016,-124.23653,West
CHA,Chattanooga Metropolitan Airport (Lovell Field),Chattanooga,TN,USA,35.03527,-85.20379,South
CHO,Charlottesville-Albemarle Airport,Charlottesville,VA,USA,38.13864,-78.45286,South
CHS,Charleston International Airport/Charleston AFB,Charleston,SC,USA,32.89865,-80.04051,South
CID,The Eastern Iowa Airport,Cedar Rapids,IA,USA,41.88459,-91.71087,Midwest
CIU,Chippewa County International Airport,Sault Ste. Marie,MI,USA,46.25075,-84.47239,Midwest
CLD,McClellan-Palomar Airport,San Diego,CA,USA,33.12723,-117.27873,West
CLE,Cleveland Hopkins International Airport,Cleveland,OH,USA,41.41089,-81.8494,Midwest
CLL,Easterwood Airport,College Station,TX,USA,30.58859,-96.36382,South
CLT,Charlotte Douglas International Airport,Charlotte,NC,USA,35.21401,-80.94313,South
CMH,Port Columbus International Airport,Columbus,OH,USA,39.99799,-82.89188,Midwest
CMI,University of Illinois - Willard Airport,Champaign/Urbana,IL,USA,40.03925,-88.27806,Midwest
CMX,Houghton County Memorial Airport,Hancock,MI,USA,47.16842,-88.48906,Midwest
