IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,REGION
HOU,William P. Hobby Airport,Houston,TX,USA,29.64542,-95.27889,South
HPN,Westchester County Airport,White Plains,NY,USA,41.06696,-73.70757,Northeast
HRL,Valley International Airport,Harlingen,TX,USA,26.22851,-97.65439,South
HSV,Huntsville International Airport,Huntsville,AL,USA,34.64045,-86.77311,South
HYA,Barnstable Municipal Airport,Hyannis,MA,USA,41.66934,-70.28036,Northeast
HYS,Hays Regional Airport,Hays,KS,USA,38.84494,-99.27403,Midwest
IAD,Washington Dulles International Airport,Chantilly,VA,USA,38.94453,-77.45581,South
IAG,Niagara Falls International Airport,Niagara Falls,NY,USA,43.10726,-78.94538,Northeast
IAH,George Bush Intercontinental Airport,Houston,TX,USA,29.98047,-95.33972,South
ICT,Wichita Dwight D. Eisenhower National Airport (Wichita Mid-Continent Airport),Wichita,KS,USA,37.64996,-97.43305,Midwest
IDA,Idaho Falls Regional Airport,Idaho Falls,ID,USA,43.51456,-112.07017,West
ILG,Wilmington Airport,Wilmington,DE,USA,39.67872,-75.60653,South
ILM,Wilmington International Airport,Wilmington,NC,USA,34.27061,-77.90256,South
IMT,Ford Airport,Iron Mountain/Kingsford,MI,USA,45.81835,-88.11454,Midwest
IND,Indianapolis International Airport,Indianapolis,IN,USA,39.71733,-86.29438,Midwest
INL,Falls International Airport,International Falls,MN,USA,48.56619,-93.40307,Midwest
ISN,Sloulin Field International Airport,Williston,ND,USA,48.17794,-103.64235,Midwest
ISP,Long Island MacArthur Airport,Islip,NY,USA,40.79524,-73.10021,Northeast
ITH,Ithaca Tompkins Regional Airport,Ithaca,NY,USA,42.49103,-76.45844,Northeast
ITO,Hilo International Airport,Hilo,HI,USA,19.72026,-155.04847,West
JAC,Jackson Hole Airport,Jackson,WY,USA,43.60732,-110.73774,West
JAN,Jackson-Evers International Airport,Jackson,MS,USA,32.31117,-90.07589,South
JAX,Jacksonville International Airport,Jacksonville,FL,USA,30.49406,-81.68786,South
JFK,John F. Kennedy International Airport (New York International Airport),New York,NY,USA,40.63975,-73.77893,Northeast
JLN,Joplin Regional Airport,Joplin,MO,USA,37.15181,-94.49827,Midwest
JMS,Jamestown Regional Airport,Jamestown,ND,USA,46.92972,-98.6782,Midwest
JNU,Juneau International Airport,Juneau,AK,USA,58.35496,-134.57628,West
KOA,Kona International Airport at Keahole,Kailua/Kona,HI,USA,19.73877,-156.04563,West
KTN,Ketchikan International Airport,Ketchikan,AK,USA,55.35557,-131.71374,West
LAN,Capital Region International Airport ( Lansing Capital City),Lansing,MI,USA,42.7787,-84.58736,Midwest
LAR,Laramie Regional Airport,Laramie,WY,USA,41.31205,-105.67499,West
LAS,McCarran International Airport,Las Vegas,NV,USA,36.08036,-115.15233,West
LAW,Lawton-Fort Sill Regional Airport,Lawton,OK,USA,34.56771,-98.41664,South
LAX,Los Angeles International Airport,Los Angeles,CA,USA,33.94254,-118.40807,West
LBB,Lubbock Preston Smith International Airport,Lubbock,TX,USA,33.66364,-101.82278,South
LBE,Arnold Palmer Regional Airport,Latrobe,PA,USA,40.27594,-79.4048,Northeast
LCH,Lake Charles Regional Airport,Lake Charles,LA,USA,30.1261,-93.2234,South
LEX,Blue Grass Airport,Lexington,KY,USA,38.03697,-84.60539,South
LFT,Lafayette Regional Airport,Lafayette,LA,USA,30.20528,-91.98766,South
LGA,LaGuardia Airport (Marine Air Terminal),New York,NY,USA,40.77724,-73.87261,Northeast
LGB,Long Beach Airport (Daugherty Field),Long Beach,CA,USA,33.81772,-118.15161,West
LIH,Lihue Airport,Lihue,HI,USA,21.97598,-159.33896,West
LIT,Bill and Hillary Clinton National Airport (Adams Field),Little Rock,AR,USA,34.7294,-92.22425,South
LNK,Lincoln Airport (Lincoln Municipal),Lincoln,NE,USA,40.85097,-96.75925,Midwest
LRD,Laredo International Airport,Laredo,TX,USA,27.54374,-99.46154,South
LSE,La Crosse Regional Airport,La Crosse,WI,USA,43.87938,-91.25654,Midwest
LWS,Lewiston-Nez Perce County Airport,Lewiston,ID,USA,46.3745,-117.01539,West
MAF,Midland International Airport,Midland,TX,USA,31.94253,-102.20191,South
MBS,MBS International Airport,Saginaw,MI,USA,43.53291,-84.07965,Midwest
MCI,Kansas City International Airport,Kansas City,MO,USA,39.29761,-94.71391,Midwest
MCO,Orlando International Airport,Orlando,FL,USA,28.42889,-81.31603,South
MDT,Harrisburg International Airport,Harrisburg,PA,USA,40.1935,-76.7634,Northeast
MDW,Chicago Midway International Airport,Chicago,IL,USA,41.78598,-87.75242,Midwest
MEI,Meridian Regional Airport,Meridian,MS,USA,32.33313,-88.75121,South
MEM,Memphis International Airport,Memphis,TN,USA,35.04242,-89.97667,South
MFE,McAllen-Miller International Airport (McAllen Miller International),McAllen,TX,USA,26.17583,-98.23861,South
MFR,Rogue Valley International Airport,Medford,OR,USA,42.37423,-122.8735,West
MGM,Montgomery Regional Airport,Montgomery,AL,USA,32.30064,-86.39398,South
MHK,Manhattan Regional Airport,Manhattan,KS,USA,39.14097,-96.67083,Midwest
MHT,Manchester-Boston Regional Airport,Manchester,NH,USA,42.93452,-71.43706,Northeast
MIA,Miami International Airport,Miami,FL,USA,25.79325,-80.29056,South
MKE,General Mitchell International Airport,Milwaukee,WI,USA,42.94722,-87.89658,Midwest
MKG,Muskegon County Airport,Muskegon,MI,USA,43.16949,-86.23822,Midwest
MLB,Melbourne International Airport,Melbourne,FL,USA,28.10275,-80.64581,South
MLI,Quad City International Airport,Moline,IL,USA,41.44853,-90.50754,Midwest
MLU,Monroe Regional Airport,Monroe,LA,USA,32.51087,-92.03769,South
MMH,Mammoth Yosemite Airport,Mammoth Lakes,CA,USA,37.62405,-118.83777,West
MOB,Mobile Regional Airport,Mobile,AL,USA,30.69142,-88.24283,South
MOT,Minot International Airport,Minot,ND,USA,48.25938,-101.28033,Midwest
MQT,Sawyer International Airport,Marquette,MI,USA,46.35364,-87.39536,Midwest
MRY,Monterey Regional Airport (Monterey Peninsula Airport),Monterey,CA,USA,36.58698,-121.84295,West
MSN,Dane County Regional Airport,Madison,WI,USA,43.13986,-89.33751,Midwest
MSO,Missoula International Airport,Missoula,MT,USA,46.91631,-114.09056,West
MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,USA,44.88055,-93.21692,Midwest
MSY,Louis Armstrong New Orleans International Airport,New Orleans,LA,USA,29.99339,-90.25803,South
MTJ,Montrose Regional Airport,Montrose,CO,USA,38.50887,-107.89383,West
MVY,Martha's Vineyard Airport,Marthas Vineyard,MA,USA,41.39303,-70.61433,Northeast
MYR,Myrtle Beach International Airport,Myrtle Beach,SC,USA,33.67975,-78.92833,South
OAJ,Albert J. Ellis Airport,Jacksonville,NC,USA,34.82916,-77.61214,South
OAK,Oakland International Airport,Oakland,CA,USA,37.72129,-122.22072,West
OGG,Kahului Airport,Kahului,HI,USA,20.89865,-156.43046,West
OKC,Will Rogers World Airport,Oklahoma City,OK,USA,35.39309,-97.60073,South
OMA,Eppley Airfield,Omaha,NE,USA,41.30252,-95.89417,Midwest
OME,Nome Airport,Nome,AK,USA,64.5122,-165.44525,West
ONT,Ontario International Airport,Ontario,CA,USA,34.056,-117.60119,West
ORD,Chicago O'Hare International Airport,Chicago,IL,USA,41.9796,-87.90446,Midwest
ORF,Norfolk International Airport,Norfolk,VA,USA,36.89461,-76.20122,South
ORH,Worcester Regional Airport,Worcester,MA,USA,42.26734,-71.87571,Northeast
OTH,Southwest Oregon Regional Airport (North Bend Municipal),North Bend,OR,USA,43.41714,-124.24603,West
OTZ,Ralph Wien Memorial Airport,Kotzebue,AK,USA,66.88468,-162.59855,West
PAH,Barkley Regional Airport,Paducah,KY,USA,37.06083,-88.77375,South
PBG,Plattsburgh International Airport,Plattsburgh,NY,USA,,,Northeast
PBI,Palm Beach International Airport,West Palm Beach,FL,USA,26.68316,-80.09559,South
PDX,Portland International Airport,Portland,OR,USA,45.58872,-122.5975,West
